id;client_id;card_brand;card_type;card_number;expires;cvv;has_chip;num_cards_issued;credit_limit;acct_open_date;year_pin_last_changed
1459;1679;Mastercard;Debit;5656383455895230;01-01-2021;547;YES;1;25845,00;01-02-2020;2020
138;1094;Visa;Debit;4556928160477230;01-06-2023;64;YES;2;2365,00;01-01-2007;2009
3755;1094;Mastercard;Debit;5515782790823590;01-06-2023;419;YES;2;18684,00;01-07-2006;2017
1768;1094;Visa;Credit;4508388296516460;01-02-2021;364;NO;2;7400,00;01-02-2020;2020
5924;1590;Mastercard;Debit;5548265564669330;01-12-2024;145;YES;2;4147,00;01-12-2008;2016
6074;1660;Visa;Debit (Prepaid);4986270376099450;01-04-2022;385;YES;1;76,00;01-12-2012;2012
5923;1660;Discover;Credit;6726060094896110;01-01-2009;105;NO;1;4700,00;01-12-2008;2014
4223;1660;Visa;Credit;4157109762296150;01-06-2021;433;YES;2;5800,00;01-08-2007;2011
4455;1660;Mastercard;Debit;5231462717450520;01-03-2024;754;YES;2;12082,00;01-08-2016;2016
3234;1660;Mastercard;Credit;5074836567307560;01-03-2023;741;NO;2;6000,00;01-06-2002;2010
1005;1660;Visa;Debit;4986369179342270;01-11-2009;367;YES;1;620,00;01-02-2002;2014
151;1747;Mastercard;Debit;5892013969159900;01-08-2022;879;YES;1;14499,00;01-01-2008;2008
4198;1747;Mastercard;Debit;5179157151686140;01-07-2023;457;YES;2;12332,00;01-08-2007;2009
4403;1747;Mastercard;Debit;5569640141329520;01-09-2024;904;YES;1;18424,00;01-08-2013;2013
4120;1747;Visa;Credit;4708914311449290;01-07-2023;149;NO;1;15400,00;01-08-2003;2008
4224;1747;Visa;Debit;4795724941278910;01-02-2022;136;YES;2;14548,00;01-08-2007;2013
4895;1747;Mastercard;Credit;5300159511214990;01-12-2016;740;YES;2;10100,00;01-09-2016;2016
1028;153;Discover;Credit;6580244636542200;01-04-2011;416;YES;1;11200,00;01-02-2004;2008
5956;153;Mastercard;Debit;5032457975030970;01-10-2024;240;YES;2;20291,00;01-12-2009;2011
107;153;Visa;Debit;4382324870900910;01-08-2018;852;YES;1;32092,00;01-01-2006;2010
440;153;Mastercard;Debit;5456808094753900;01-02-2020;217;YES;1;20463,00;01-01-2020;2020
746;429;Visa;Debit;4465362453388910;01-08-2022;738;YES;1;15802,00;01-01-2020;2020
1769;429;Visa;Debit;4668447208616690;01-02-2020;314;NO;2;4612,00;01-02-2020;2020
421;429;Discover;Credit;6377595394803320;01-07-2020;675;YES;2;19900,00;01-01-2020;2020
974;511;Mastercard;Debit (Prepaid);5117090980312400;01-10-2020;42;YES;1;73,00;01-02-2000;2012
4707;511;Mastercard;Debit;5377858405611170;01-01-2024;24;YES;1;11858,00;01-09-2009;2010
7;511;Mastercard;Debit;5585238056278290;01-03-2005;749;YES;1;9664,00;01-01-1998;2011
2212;511;Mastercard;Debit;5355281784290570;01-06-2020;810;YES;1;8367,00;01-03-2009;2009
1038;511;Visa;Credit;4150093118072730;01-06-2022;135;YES;2;6100,00;01-02-2004;2009
1460;309;Mastercard;Debit;5979295728871780;01-02-2020;630;YES;3;9944,00;01-02-2020;2020
747;309;Visa;Credit;4473643731469840;01-01-2020;771;YES;1;7900,00;01-01-2020;2020
1770;309;Visa;Credit;4800116569994470;01-12-2020;201;YES;1;5600,00;01-02-2020;2020
748;777;Visa;Debit;4832328468851060;01-08-2023;580;YES;1;68400,00;01-01-2020;2020
441;777;Mastercard;Debit;5278075482033390;01-04-2023;437;YES;2;77237,00;01-01-2020;2020
3679;1946;Visa;Debit;4869845530765330;01-08-2024;701;YES;2;4488,00;01-07-2002;2015
5701;1946;Visa;Credit;4231526239204030;01-02-2020;499;YES;2;12500,00;01-11-2014;2014
4510;1674;Mastercard;Debit;5813611925507600;01-12-2020;734;YES;2;23432,00;01-09-2001;2008
2873;1674;Amex;Credit;366520954874839;01-05-2022;447;YES;2;8800,00;01-05-2005;2011
1461;482;Mastercard;Credit;5392697458480960;01-02-2020;886;YES;2;12100,00;01-02-2020;2020
442;877;Mastercard;Debit;5048151330736420;01-02-2020;931;YES;1;9708,00;01-01-2020;2020
3877;877;Amex;Credit;371643368691556;01-11-2021;683;YES;2;12000,00;01-07-2009;2011
2296;877;Mastercard;Debit;5700734711260260;01-11-2023;230;YES;1;11973,00;01-03-2012;2012
5048;128;Mastercard;Debit;5389442391430670;01-02-2022;658;YES;2;13601,00;01-10-2006;2014
1462;128;Mastercard;Credit;5079116875907420;01-01-2024;849;YES;2;7800,00;01-02-2020;2020
4269;775;Visa;Debit;4390425683290570;01-10-2023;790;YES;2;17816,00;01-08-2008;2016
5188;1536;Mastercard;Debit;5217568630125700;01-03-2021;625;NO;2;17707,00;01-10-2010;2010
2874;1536;Amex;Credit;397856635669220;01-11-2020;2;YES;1;9500,00;01-05-2005;2009
3041;140;Mastercard;Debit;5529182104663870;01-01-2022;182;YES;1;19110,00;01-05-2010;2011
5312;140;Mastercard;Debit;5489017664251290;01-08-2023;196;YES;1;13428,00;01-10-2016;2016
4150;140;Mastercard;Debit;5793675314684780;01-06-2022;43;YES;1;24608,00;01-08-2005;2009
152;140;Mastercard;Debit;5845373196638990;01-09-2022;111;YES;1;13441,00;01-01-2008;2011
443;1884;Mastercard;Debit (Prepaid);5750288075891810;01-02-2020;788;YES;2;74,00;01-01-2020;2020
3377;1874;Mastercard;Debit;5429789020188280;01-10-2012;674;YES;1;17872,00;01-06-2008;2008
5789;1874;Mastercard;Credit;5301114615829910;01-09-2022;425;YES;1;12900,00;01-12-2003;2010
2106;1874;Mastercard;Debit;5571104183564030;01-05-2024;52;YES;2;25264,00;01-03-2006;2020
2078;1874;Mastercard;Debit;5401948301255040;01-12-2022;920;YES;2;20634,00;01-03-2005;2007
5866;1310;Visa;Credit;4295364044956970;01-04-2007;656;YES;2;12200,00;01-12-2006;2010
173;1310;Visa;Credit;4737484014371340;01-02-2010;221;YES;2;5500,00;01-01-2008;2008
1771;1689;Visa;Credit;4509365132510770;01-03-2020;281;NO;2;6600,00;01-02-2020;2020
6132;1689;Mastercard;Debit;5068255294282300;01-11-2020;890;YES;1;25815,00;01-12-2017;2017
327;379;Amex;Credit;354813103334804;01-06-2021;527;YES;2;8400,00;01-01-2014;2014
2019;379;Mastercard;Debit;5910929635230870;01-02-2020;525;YES;1;21628,00;01-03-2001;2008
3881;379;Mastercard;Debit;5400182448188960;01-10-2021;412;YES;1;24232,00;01-07-2009;2009
1166;34;Mastercard;Debit;5039048842448180;01-11-2023;339;YES;2;10775,00;01-02-2009;2010
3342;34;Mastercard;Debit (Prepaid);5672012369002300;01-02-2020;598;YES;2;105,00;01-06-2007;2013
5622;822;Visa;Credit;4336733185475860;01-01-2021;221;NO;2;7100,00;01-11-2010;2010
5424;822;Mastercard;Debit;5985582173054290;01-07-2024;951;YES;1;29351,00;01-11-2005;2007
2558;822;Mastercard;Debit;5281056728185170;01-03-2020;835;YES;2;15125,00;01-04-2008;2012
5385;822;Mastercard;Credit;5615660494634700;01-11-2021;865;YES;2;8000,00;01-11-2003;2008
5596;822;Mastercard;Debit (Prepaid);5314878099448740;01-05-2011;994;YES;1;83,00;01-11-2010;2010
3991;1499;Amex;Credit;311095486859536;01-01-2024;536;YES;2;23700,00;01-07-2012;2012
6126;1780;Visa;Credit;4624747592911130;01-02-2024;986;YES;2;700,00;01-12-2016;2016
3756;1806;Mastercard;Debit;5595562388674400;01-07-2024;594;YES;2;7488,00;01-07-2006;2016
971;811;Visa;Credit;4171022488649330;01-01-2002;225;NO;1;24900,00;01-02-1999;2010
2079;811;Mastercard;Debit;5246337038556760;01-06-2021;638;YES;2;30971,00;01-03-2005;2020
387;811;Amex;Credit;399966116933253;01-01-2024;343;YES;1;24400,00;01-01-2020;2020
444;811;Mastercard;Debit;5064137987234660;01-02-2020;599;YES;2;53549,00;01-01-2020;2020
5277;811;Visa;Debit;4905540969337040;01-09-2018;573;YES;1;53036,00;01-10-2013;2013
4358;811;Mastercard;Debit;5703849820939470;01-12-2024;300;YES;1;35750,00;01-08-2011;2011
2318;811;Visa;Debit;4055403312631050;01-07-2021;902;YES;1;33375,00;01-03-2013;2013
6019;1844;Visa;Debit (Prepaid);4587476056357150;01-07-2023;858;YES;2;22,00;01-12-2010;2010
4421;1844;Discover;Credit;6521426249819200;01-11-2020;608;YES;1;13100,00;01-08-2014;2014
3702;1844;Visa;Debit;4199712815274630;01-10-2024;440;YES;1;16516,00;01-07-2003;2011
2854;1844;Mastercard;Credit;5172743861765170;01-07-2016;906;YES;1;15700,00;01-05-2004;2011
4114;1844;Mastercard;Debit;5214643602729090;01-05-2024;474;YES;1;21058,00;01-08-2003;2007
28;1852;Visa;Debit;4013876625955760;01-10-2023;543;YES;2;36425,00;01-01-2002;2004
6127;1852;Visa;Debit (Prepaid);4966050979388900;01-03-2021;585;YES;2;91,00;01-12-2016;2016
2477;1852;Mastercard;Credit;5247576622089390;01-09-2021;379;YES;1;13400,00;01-04-2005;2014
2632;1852;Mastercard;Credit;5911319900289830;01-04-2021;37;YES;2;21600,00;01-04-2010;2010
1463;1231;Mastercard;Debit;5058769177189800;01-02-2020;12;NO;1;9090,00;01-02-2020;2020
5679;970;Visa;Debit;4682877628388640;01-02-2023;846;NO;1;25942,00;01-11-2012;2012
1012;970;Mastercard;Credit;5882842508952740;01-07-2019;614;YES;2;10700,00;01-02-2003;2013
1464;970;Mastercard;Credit;5637149260486790;01-07-2022;630;YES;2;4900,00;01-02-2020;2020
1465;381;Mastercard;Credit;5115700923413240;01-04-2022;587;NO;1;18100,00;01-02-2020;2020
388;1134;Amex;Credit;324640473359364;01-03-2024;659;YES;2;7200,00;01-01-2020;2020
3708;1296;Mastercard;Debit;5033428838471730;01-02-2020;546;YES;2;22660,00;01-07-2004;2007
3087;1296;Discover;Credit;6969946254132650;01-12-2022;588;YES;1;19800,00;01-05-2011;2011
67;1296;Mastercard;Credit;5181226307106930;01-11-2024;820;YES;2;15500,00;01-01-2005;2014
80;1296;Visa;Debit (Prepaid);4310689470082080;01-06-2023;458;YES;1;13,00;01-01-2005;2008
3665;1296;Mastercard;Debit;5051066154001740;01-06-2021;526;YES;2;4317,00;01-07-2001;2011
2014;1880;Mastercard;Debit;5456915066505070;01-12-2021;553;NO;1;14719,00;01-03-2000;2008
4906;1880;Mastercard;Debit;5132664334960880;01-05-2021;593;YES;1;9532,00;01-09-2017;2017
3757;1880;Mastercard;Credit;5752873844240570;01-03-2020;486;YES;1;10900,00;01-07-2006;2014
5365;322;Mastercard;Credit;5494228198326750;01-09-2024;428;YES;2;6200,00;01-11-2001;2012
5425;322;Mastercard;Debit;5789639625525460;01-12-2012;43;YES;2;2903,00;01-11-2005;2011
5758;322;Mastercard;Debit;5392957769023390;01-10-2020;803;YES;2;4355,00;01-12-1999;2010
5482;461;Mastercard;Debit;5182820825620430;01-04-2021;126;YES;1;28963,00;01-11-2007;2012
3172;461;Mastercard;Debit;5102353988152900;01-12-2022;667;YES;2;20913,00;01-05-2016;2016
1209;461;Mastercard;Debit;5033135709911480;01-07-2024;170;YES;1;23344,00;01-02-2010;2010
5313;461;Mastercard;Debit;5611522756792000;01-01-2020;882;YES;2;33642,00;01-10-2016;2016
4762;1165;Mastercard;Debit;5037404409791940;01-01-2022;681;YES;1;14695,00;01-09-2010;2011
126;1448;Mastercard;Credit;5571363047071900;01-09-2023;510;YES;1;13200,00;01-01-2007;2015
4685;1448;Visa;Debit;4083033843851770;01-01-2020;173;YES;1;29950,00;01-09-2008;2013
5907;1448;Visa;Credit;4829916759482900;01-07-2024;768;YES;2;4600,00;01-12-2007;2011
2428;1288;Mastercard;Debit;5458492483408550;01-12-2022;92;YES;1;10051,00;01-04-2002;2011
1013;1288;Mastercard;Debit;5879094230635420;01-12-2015;729;YES;2;9796,00;01-02-2003;2013
5145;1178;Mastercard;Debit;5769435406360330;01-10-2021;957;YES;1;17826,00;01-10-2009;2009
5854;1178;Mastercard;Debit;5588799529406910;01-11-2024;778;YES;1;19086,00;01-12-2006;2009
5296;1178;Visa;Debit;4410685608952640;01-06-2024;265;YES;2;17345,00;01-10-2014;2014
1327;1178;Visa;Debit;4470822684089910;01-09-2020;923;YES;2;17976,00;01-02-2013;2013
383;1178;Visa;Debit;4804338444306730;01-01-2022;279;YES;2;16447,00;01-01-2019;2019
5129;1391;Visa;Debit;4194362281636450;01-10-2024;271;YES;2;29573,00;01-10-2008;2009
5995;1391;Mastercard;Debit (Prepaid);5436469451844830;01-12-2021;48;YES;2;98,00;01-12-2010;2010
4107;1391;Mastercard;Debit;5648865641388290;01-08-2019;71;YES;2;2559,00;01-08-2002;2012
36;1391;Mastercard;Debit;5914243757284150;01-10-2012;436;YES;2;6552,00;01-01-2003;2010
445;838;Mastercard;Credit;5193780952753630;01-01-2021;591;YES;2;13800,00;01-01-2020;2020
1466;54;Mastercard;Debit;5957925302951750;01-08-2020;746;YES;1;16375,00;01-02-2020;2020
749;54;Visa;Debit;4557061225558440;01-05-2023;780;YES;1;14213,00;01-01-2020;2020
1772;54;Visa;Debit (Prepaid);4883222888293070;01-09-2020;2;YES;1;73,00;01-02-2020;2020
3801;1452;Mastercard;Debit;5476407228285230;01-11-2022;688;YES;2;53466,00;01-07-2007;2013
282;1602;Visa;Credit;4698943729070490;01-09-2020;450;YES;1;6600,00;01-01-2011;2013
6105;1602;Mastercard;Credit;5579147219556310;01-06-2022;806;NO;2;7200,00;01-12-2015;2015
446;1938;Mastercard;Debit;5099614207935770;01-11-2020;856;YES;1;2868,00;01-01-2020;2020
422;1938;Discover;Credit;6177503172021510;01-05-2024;97;YES;1;3400,00;01-01-2020;2020
5231;1492;Mastercard;Debit;5188130978534930;01-01-2022;446;YES;1;12915,00;01-10-2011;2013
2615;1492;Visa;Debit (Prepaid);4860320285002450;01-12-2023;366;YES;2;84,00;01-04-2009;2017
2776;1492;Discover;Credit;6417599205270840;01-07-2021;504;YES;2;17600,00;01-04-2018;2018
5452;1492;Mastercard;Debit;5516722949603670;01-12-2012;621;YES;1;31542,00;01-11-2006;2009
3563;1492;Mastercard;Debit;5891053637541510;01-02-2022;362;YES;2;23049,00;01-06-2013;2013
6134;1492;Visa;Debit;4222570131769030;01-05-2020;141;YES;1;29734,00;01-12-2017;2017
4818;1492;Visa;Credit;4453742478192140;01-01-2020;346;YES;2;27000,00;01-09-2011;2016
2171;1492;Mastercard;Debit (Prepaid);5335984658439100;01-11-2022;320;YES;1;18,00;01-03-2008;2010
6106;688;Mastercard;Debit;5708150083756690;01-04-2023;824;YES;1;17848,00;01-12-2015;2015
3042;688;Mastercard;Debit;5238684130320060;01-11-2022;870;NO;1;25563,00;01-05-2010;2010
5209;688;Visa;Credit;4740880792169370;01-04-2020;168;YES;2;12000,00;01-10-2010;2010
1296;688;Amex;Credit;361648729239104;01-11-2018;709;NO;2;6600,00;01-02-2012;2012
389;749;Amex;Credit;363305614201313;01-09-2023;943;NO;1;5600,00;01-01-2020;2020
1773;749;Visa;Debit;4360859456629850;01-11-2022;428;YES;3;11873,00;01-02-2020;2020
1467;749;Mastercard;Credit;5498016831726770;01-02-2020;871;YES;1;7200,00;01-02-2020;2020
1395;643;Amex;Credit;381572912003735;01-08-2024;145;YES;1;10000,00;01-02-2020;2020
5597;643;Mastercard;Credit;5079302523329060;01-04-2023;381;YES;2;500,00;01-11-2010;2010
1468;1219;Mastercard;Debit;5546998350637120;01-02-2020;718;YES;1;22697,00;01-02-2020;2020
2309;1219;Mastercard;Credit;5326031764905960;01-08-2023;437;YES;1;18000,00;01-03-2013;2013
3466;1219;Mastercard;Debit;5096150037217370;01-10-2024;862;YES;1;32903,00;01-06-2010;2010
2804;1198;Visa;Debit;4489873116412360;01-08-2021;547;YES;2;12764,00;01-05-1999;2010
1388;1198;Mastercard;Credit;5621725368325860;01-10-2022;60;YES;1;6300,00;01-02-2019;2019
4660;898;Mastercard;Debit;5923138803280580;01-02-2022;934;YES;2;7541,00;01-09-2008;2013
3356;898;Visa;Debit;4447989421793050;01-03-2022;995;YES;2;1266,00;01-06-2007;2012
4870;898;Mastercard;Credit;5000307662634780;01-04-2020;263;NO;1;9500,00;01-09-2014;2014
3467;882;Mastercard;Debit;5707305515533520;01-04-2020;203;YES;2;1837,00;01-06-2010;2010
1079;882;Mastercard;Debit;5864987017850550;01-08-2023;258;YES;2;17453,00;01-02-2006;2008
2977;348;Visa;Debit;4228885239928190;01-10-2013;543;NO;1;28283,00;01-05-2008;2012
3073;348;Visa;Credit;4210237285941910;01-04-2020;160;YES;1;13500,00;01-05-2010;2012
3554;348;Visa;Credit;4877073763902900;01-07-2014;786;YES;2;13300,00;01-06-2012;2012
2597;633;Mastercard;Debit;5558040779986510;01-09-2021;69;YES;2;17941,00;01-04-2009;2009
3489;1493;Visa;Credit;4642496218651970;01-04-2018;594;YES;1;14400,00;01-06-2010;2012
4003;1493;Visa;Credit;4244401907291510;01-04-2020;120;YES;1;4400,00;01-07-2012;2012
1469;1493;Mastercard;Credit;5157439545898690;01-03-2020;657;YES;1;13000,00;01-02-2020;2020
1774;1493;Visa;Debit;4079516725179270;01-04-2023;72;YES;2;22701,00;01-02-2020;2020
1470;1161;Mastercard;Credit;5597117503471640;01-08-2024;934;NO;1;16100,00;01-02-2020;2020
1471;1161;Mastercard;Debit;5808372218918200;01-09-2023;138;YES;2;7629,00;01-02-2020;2020
2691;217;Mastercard;Debit;5565497732362130;01-03-2022;430;NO;1;16538,00;01-04-2012;2012
174;217;Visa;Debit;4072893581482210;01-12-2020;578;YES;2;22746,00;01-01-2008;2010
1364;217;Mastercard;Debit;5161929618424760;01-07-2016;743;YES;1;9737,00;01-02-2016;2016
1266;217;Mastercard;Credit;5359358098670040;01-07-2019;428;YES;1;6500,00;01-02-2011;2014
1267;217;Mastercard;Debit;5093514487076220;01-06-2020;889;YES;2;2650,00;01-02-2011;2013
207;217;Visa;Credit;4409790595650720;01-05-2012;839;YES;2;8200,00;01-01-2009;2011
5448;217;Amex;Credit;373325875666765;01-01-2022;204;YES;2;6200,00;01-11-2006;2013
5449;1877;Amex;Credit;366837170672753;01-01-2021;803;YES;2;22600,00;01-11-2006;2014
2107;1877;Mastercard;Debit;5260255791659850;01-05-2024;428;YES;2;6940,00;01-03-2006;2009
2398;1877;Mastercard;Debit;5911939393457830;01-03-2024;410;YES;2;23408,00;01-04-1996;2008
5414;1877;Visa;Credit;4226284680001630;01-09-2022;966;YES;2;9700,00;01-11-2004;2007
3758;668;Mastercard;Debit;5624997997810590;01-06-2024;992;NO;2;10538,00;01-07-2006;2006
4097;668;Mastercard;Debit;5752209560237460;01-03-2023;385;YES;2;6853,00;01-08-2001;2006
5778;668;Mastercard;Debit;5470018669871090;01-10-2020;598;YES;2;607,00;01-12-2002;2010
4318;668;Mastercard;Credit;5764603958082870;01-08-2021;397;YES;1;0,00;01-08-2010;2010
5015;668;Visa;Debit;4378354586828460;01-06-2021;644;YES;2;8253,00;01-10-2004;2011
750;533;Visa;Debit;4415203972868490;01-09-2020;847;YES;2;8492,00;01-01-2020;2020
242;203;Visa;Credit;4716309780327850;01-07-2022;275;YES;1;9100,00;01-01-2010;2010
3966;203;Mastercard;Credit;5175414290540890;01-04-2022;497;NO;2;2600,00;01-07-2011;2011
5375;203;Mastercard;Credit;5079431552272490;01-05-2024;813;NO;1;7300,00;01-11-2002;2010
5166;1738;Visa;Credit;4841586209388620;01-08-2020;207;YES;1;15000,00;01-10-2009;2009
1472;1738;Mastercard;Credit;5133341979041600;01-04-2024;497;YES;2;18700,00;01-02-2020;2020
751;1738;Visa;Debit;4044685132149960;01-05-2021;579;YES;1;21458,00;01-01-2020;2020
5623;1738;Visa;Credit;4825181289428260;01-04-2020;635;NO;1;15700,00;01-11-2010;2014
6099;713;Mastercard;Debit;5533057740649370;01-01-2020;13;YES;2;20765,00;01-12-2014;2014
1473;713;Mastercard;Debit;5137811039972630;01-06-2022;170;NO;2;18101,00;01-02-2020;2020
1775;713;Visa;Credit;4409545480052960;01-11-2024;528;YES;1;8400,00;01-02-2020;2020
447;713;Mastercard;Debit;5169705466479220;01-03-2020;66;YES;1;1737,00;01-01-2020;2020
1474;1631;Mastercard;Credit;5782138554730430;01-02-2020;217;YES;2;20900,00;01-02-2020;2020
1776;1631;Visa;Credit;4450097042295690;01-11-2021;601;YES;1;23700,00;01-02-2020;2020
448;1631;Mastercard;Credit;5298079382002760;01-11-2021;989;YES;1;17500,00;01-01-2020;2020
5978;1487;Visa;Debit;4911894810892320;01-06-2024;769;YES;1;26083,00;01-12-2009;2009
2978;1487;Visa;Debit;4394014058373540;01-10-2022;943;YES;1;31589,00;01-05-2008;2008
4946;1487;Visa;Credit;4984110253172330;01-06-2021;453;YES;2;24200,00;01-10-2000;2013
1475;1265;Mastercard;Debit;5658875071888530;01-02-2020;190;YES;2;18321,00;01-02-2020;2020
5376;370;Mastercard;Debit;5377126168537130;01-10-2022;94;YES;2;7551,00;01-11-2002;2010
4127;370;Mastercard;Debit;5606824501502080;01-06-2014;451;YES;1;15377,00;01-08-2004;2011
5093;370;Visa;Debit;4501704511432210;01-03-2023;324;YES;1;12990,00;01-10-2007;2016
3490;370;Visa;Debit;4015096339812710;01-02-2023;494;YES;1;8509,00;01-06-2010;2010
5702;1014;Visa;Debit;4467199760802880;01-11-2014;176;YES;1;96907,00;01-11-2014;2014
2200;1014;Visa;Credit;4081474027835150;01-07-2015;45;YES;1;43900,00;01-03-2008;2013
5436;1014;Visa;Debit (Prepaid);4868297041449160;01-10-2020;440;YES;2;76,00;01-11-2005;2007
449;290;Mastercard;Debit;5843714671989160;01-01-2020;533;YES;2;50915,00;01-01-2020;2020
1777;290;Visa;Debit;4052306795072870;01-12-2021;369;YES;2;31767,00;01-02-2020;2020
3862;985;Visa;Credit;4229889369220690;01-04-2024;82;YES;2;13200,00;01-07-2008;2010
1268;985;Mastercard;Credit;5936949471946680;01-10-2022;372;YES;2;16000,00;01-02-2011;2012
752;985;Visa;Debit;4748458102584200;01-07-2024;223;YES;2;18132,00;01-01-2020;2020
2704;985;Visa;Credit;4862788591864800;01-02-2019;466;YES;1;300,00;01-04-2012;2012
2808;135;Mastercard;Debit;5736838327060450;01-11-2022;714;YES;2;2236,00;01-05-2000;2015
4791;135;Visa;Debit;4528854599819270;01-08-2019;451;YES;2;21591,00;01-09-2010;2010
1476;307;Mastercard;Debit;5956798767354540;01-04-2020;927;YES;2;11521,00;01-02-2020;2020
753;307;Visa;Credit;4949830998579620;01-06-2020;561;NO;1;8600,00;01-01-2020;2020
4112;1783;Amex;Credit;323782494048404;01-03-2020;659;YES;1;9800,00;01-08-2003;2010
1154;1783;Visa;Credit;4172882144788970;01-03-2012;902;YES;2;11300,00;01-02-2008;2009
2598;1783;Mastercard;Credit;5153494647482350;01-10-2019;492;YES;1;8400,00;01-04-2009;2011
10;1783;Mastercard;Debit;5513208341097350;01-12-2023;789;YES;1;16597,00;01-01-1999;2009
4655;1783;Amex;Credit;316138720673532;01-09-2020;876;YES;2;9400,00;01-09-2008;2008
5908;1321;Visa;Debit;4709941855155410;01-12-2008;122;YES;1;18702,00;01-12-2007;2007
3357;1511;Visa;Debit;4725438629956460;01-06-2022;675;YES;1;24806,00;01-06-2007;2007
5502;1511;Visa;Debit;4992990568824250;01-05-2023;457;YES;1;19856,00;01-11-2007;2011
1238;900;Visa;Debit (Prepaid);4580252759299280;01-02-2021;397;YES;2;68,00;01-02-2010;2010
3412;900;Amex;Credit;347103137777594;01-12-2022;791;YES;2;4900,00;01-06-2009;2009
1477;953;Mastercard;Debit;5779387577644610;01-02-2022;421;YES;1;13390,00;01-02-2020;2020
1396;953;Amex;Credit;343258769247986;01-11-2024;210;YES;3;8400,00;01-02-2020;2020
1297;233;Amex;Credit;374396421501669;01-03-2024;659;YES;2;13700,00;01-02-2012;2012
3605;406;Discover;Credit;6308795344040920;01-11-2024;205;YES;2;4200,00;01-06-2016;2016
5167;1069;Visa;Debit;4439832703761220;01-08-2020;424;YES;2;2292,00;01-10-2009;2015
